Sygnatura czasowa	"1.	Podaj swoj¹ p³eæ. Zaznacz odpowiedŸ. "	"2.	Podaj swój wiek (w latach):"	"3.	Do jakiej kategorii (I) nale¿¹ uprawiane przez Ciebie sporty?"	"4.	Do jakiej kategorii (II) nale¿¹ uprawiane przez Ciebie sporty?"	"5.	Do jakiej kategorii (III) nale¿¹ uprawiane przez Ciebie sporty? "	"6.	Jaki procent miesiêcznych wydatków przeznaczasz na sport?   "	"7.	Scharakteryzuj najczêœciej u¿ywany przez Ciebie sprzêt sportowy. "	"8.	Scharakteryzuj najczêœciej u¿ywan¹ przez Ciebie odzie¿ sportow¹. "	"9.	Na co przeznaczasz zasadnicz¹ czêœæ swoich wakacji (urlopu)? "	"10.	Podaj g³ówne czynniki mobilizuj¹ce Ciê do podejmowania wysi³ku fizycznego. "	"11.	Czy palisz papierosy? Zaznacz odpowiedŸ. "	"12.	Okreœl przeciêtn¹ d³ugoœæ Twego snu nocnego?  "	"13.	Oceñ swoje dotychczasowe postêpy w nauce i pracy. "	"14.	Okreœl poziom swojej sprawnoœci fizycznej. "	"15.	Okreœl poziom zadowolenia ze swojego ¿ycia. "	"16.	Scharakteryzuj stan swojego zdrowia. "
11-28-2014 7:10:23	kobieta	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	niemarkowy	markowa, œredniej klasy	sen i lektura	troska o wygl¹d	wcale	5-6 h	bardzo dobre	œrednia	przeciêtny	bardzo dobry
11-28-2014 7:25:51	mê¿czyzna	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	spotkania towarzyskie	troska o wygl¹d	sporadycznie	7-8 h	dobre	œrednia	wysoki	przeciêtny
11-28-2014 9:27:16	mê¿czyzna	23				poni¿ej 5%			sen i lektura		wcale	powy¿ej 8 h	bardzo dobre	niska	niski	przeciêtny
11-28-2014 14:26:20	kobieta	22	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)	poni¿ej 5%	markowy, wysokiej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	wysoki	bardzo dobry
11-28-2014 17:53:59	kobieta	21	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	niemarkowy	markowa, œredniej klasy, niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d	regularnie	7-8 h	dobre	œrednia	przeciêtny	bardzo dobry
11-28-2014 18:12:08	mê¿czyzna	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, spotkania towarzyskie	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	przeciêtny	bardzo dobry
11-28-2014 20:06:43	mê¿czyzna	21	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu, presja rodziny lub kolegów	wcale	7-8 h	dobre	œrednia	przeciêtny	przeciêtny
11-29-2014 0:18:28	kobieta	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %		markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa	troska o wygl¹d	wcale	7-8 h	dobre		wysoki	dobry
11-29-2014 14:52:25	kobieta	23	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)	powy¿ej 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	sporadycznie	5-6 h	bardzo dobre	wysoka	wysoki	bardzo dobry
11-30-2014 12:27:01	mê¿czyzna	21	sporty letnie, sporty zimowe	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	sporadycznie	7-8 h	bardzo dobre	niska	wysoki	dobry
11-30-2014 16:52:41	mê¿czyzna	23				poni¿ej 5%	markowy, wysokiej klasy	markowa, wysokiej klasy	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h, 7-8 h	bardzo dobre	œrednia	wysoki	bardzo dobry
11-30-2014 17:58:00	mê¿czyzna	23	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, wysokiej klasy	markowa, wysokiej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	powy¿ej 8 h	bardzo dobre	wysoka	przeciêtny, niski	dobry
12-1-2014 20:37:06	kobieta	24	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d	wcale	7-8 h	dobre	œrednia	wysoki	bardzo dobry
12-9-2014 0:41:40																
12-9-2014 0:41:59	kobieta	22	sporty letnie				niemarkowy			troska o wygl¹d				wysoka		bardzo dobry
12-9-2014 0:42:14		22						markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa			5-6 h, 7-8 h	bardzo dobre, dobre		niski	dobry, przeciêtny
1-7-2015 17:06:07	mê¿czyzna	20	sporty letnie	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy, niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	wysoka	przeciêtny	bardzo dobry
